source	map_status	expected_status	actual_status	expected_location	actual_location	query_preserved	nginx_rule_line	result
/fantom-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_fantom/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_fantom/?utm_source=test	yes	20	PASS
/fantom-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_fantom/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_fantom/?utm_source=test	yes	21	PASS
/garri-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_garri_potter_/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_garri_potter_/?utm_source=test	yes	22	PASS
/garri-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_garri_potter_/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_garri_potter_/?utm_source=test	yes	23	PASS
/header	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	24	PASS
/kids_spasibo	301	301	301	http://82.146.60.212/kids/?utm_source=test	http://82.146.60.212/kids/?utm_source=test	yes	25	PASS
/krestrazh-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_harry_potter_i_krestrazh/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_harry_potter_i_krestrazh/?utm_source=test	yes	26	PASS
/krestrazh-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_harry_potter_i_krestrazh/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_harry_potter_i_krestrazh/?utm_source=test	yes	27	PASS
/madagaskar-hunter	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	28	PASS
/madagaskar-kvesttam	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	29	PASS
/new-year-2025	301 + fallback	301	301	http://82.146.60.212/new-year/?utm_source=test	http://82.146.60.212/new-year/?utm_source=test	yes	30	PASS
/noch-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_noch_v_museum_ograblenie/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_noch_v_museum_ograblenie/?utm_source=test	yes	31	PASS
/noch-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_noch_v_museum_ograblenie/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_noch_v_museum_ograblenie/?utm_source=test	yes	32	PASS
/ono-hunter	301	301	301	http://82.146.60.212/ono/?utm_source=test	http://82.146.60.212/ono/?utm_source=test	yes	33	PASS
/ono-kvesttam	301	301	301	http://82.146.60.212/ono/?utm_source=test	http://82.146.60.212/ono/?utm_source=test	yes	34	PASS
/page10719803.html	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	35	PASS
/page131787606.html	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	36	PASS
/page17601643.html	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	37	PASS
/page17601875.html	301	301	301	http://82.146.60.212/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom/?utm_source=test	yes	38	PASS
/page17602182.html	301	301	301	http://82.146.60.212/kvest_v_realnosti_sherlock_holms/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_sherlock_holms/?utm_source=test	yes	39	PASS
/page17602241.html	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	40	PASS
/page17602499.html	301	301	301	http://82.146.60.212/kvest_v_realnosti_fantom/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_fantom/?utm_source=test	yes	41	PASS
/page17602532.html	301	301	301	http://82.146.60.212/kvest_v_realnosti_zapad/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_zapad/?utm_source=test	yes	42	PASS
/page17602569.html	301	301	301	http://82.146.60.212/kvest_v_realnosti_psihbolnitsa/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_psihbolnitsa/?utm_source=test	yes	43	PASS
/page17602664.html	301	301	301	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	http://82.146.60.212/kvesty-v-rostove-na-donu/?utm_source=test	yes	44	PASS
